Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Aanbieding (product.metafields.custom.aanbieding),Aantal Spelers (product.metafields.custom.aantal_spelers),Aantal speler 2 (product.metafields.custom.aantal_speler_2),Aantal Stukjes (product.metafields.custom.aantal_stukjes),Activiteit (product.metafields.custom.activiteit),Demospel (product.metafields.custom.demospel),Inhoud doos (product.metafields.custom.inhoud_doos),Leeftijd (product.metafields.custom.leeftijd),Moeilijkheidsgraad (product.metafields.custom.moeilijkheidsgraad),Soort Product (product.metafields.custom.soort_product),Type Spel (product.metafields.custom.soort_spel),Spelduur (product.metafields.custom.spelduur),Spelmechanisme (product.metafields.custom.spelmechanisme),Taal (product.metafields.custom.taal),Thema (product.metafields.custom.thema),Type Accessoires (product.metafields.custom.type_accessoires),Uitgever (product.metafields.custom.uitgever),Weetjes (product.metafields.custom.weetjes),Wereld (product.metafields.custom.wereld),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Aantal productbeoordelingen (product.metafields.reviews.rating_count),Leeftijdsgroep (product.metafields.shopify.age-group),Leeftijdsbeperkingen (product.metafields.shopify.age-restrictions),Kenmerken spelbord (product.metafields.shopify.board-game-features),Bordspelmechanismen (product.metafields.shopify.board-game-mechanics),Type bouwspeelgoed (product.metafields.shopify.building-toy-type),Kleur (product.metafields.shopify.color-pattern),Behendigheidsvaardigheden (product.metafields.shopify.dexterity-skills),Dobbelsteenvorm (product.metafields.shopify.dice-shape),Materiaal versiering/rand (product.metafields.shopify.embellishment-trim-material),Evenementtype (product.metafields.shopify.event-type),Moeilijkheidsgraad spel (product.metafields.shopify.game-difficulty),Gameplay-vaardigheden (product.metafields.shopify.gameplay-skills),Puzzelthema (product.metafields.shopify.puzzle-theme),Type puzzel (product.metafields.shopify.puzzle-type),Aanbevolen leeftijdsgroep (product.metafields.shopify.recommended-age-group),Thema (product.metafields.shopify.theme),Materiaal speelgoed/spel (product.metafields.shopify.toy-game-material),Aanvullende producten (product.metafields.shopify--discovery--product_recommendation.complementary_products),Gerelateerde producten (product.metafields.shopify--discovery--product_recommendation.related_products),Gerelateerde productinstellingen (product.metafields.shopify--discovery--product_recommendation.related_products_display),Productboosts zoeken (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Nederland,Price / Nederland,Compare At Price / Nederland,Included / Belgie,Price / Belgie,Compare At Price / Belgie,Included / Internationaal,Price / Internationaal,Compare At Price / Internationaal,Status
imhotep,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/imhotep-cover-preview1.jpg?v=1708423122,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imhotep,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/pic3313825_lg.jpg?v=1708423122,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imhotep,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/pic3313823_lg.jpg?v=1708423122,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imhotep,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/pic3313824_lg.jpg?v=1708423122,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imhotep-het-duel,Imhotep - Het Duel,"<p data-mce-fragment=""1"">De strijd tussen de bouwmeesters gaat verder!</p>
<p data-mce-fragment=""1"">In ‘Imhotep - Het Duel’ zijn de spelers het beroemde koningspaar Nefertiti en Achnaton. Ze zetten hun speelfiguren tactisch in om daarmee de meest waardevolle tegels op de zes schepen te bemachtigen. Stap voor stap bouwt iedere speler aan zijn vier monumenten om daarmee zoveel mogelijk overwinningspunten te verdienen en het duel in zijn voordeel te beslissen.</p>
<p data-mce-fragment=""1"">2 Spelers versie van het populaire familiespel</p>",White Goblin Games,,Gezelschapsspel,"Area control, Beschaving, Bordspel, Bouwen, Set collection, Worker placement",,Title,Default Title,,,,,,,,,0,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/imhotep_duel_3d.jpg?v=1704371885,1,,,,,,,,,,,,,,,,,Duel ,2 spelers,,Bouwen,,,10+,Makkelijk,,Bordspel,±30 minuten,"Area control
Worker placement
Set collection",Nederlands,Beschaving,,White Goblin Games,"'- Leuk puzzelen met een mooi thema
- Juiste hoeveelheid ""touwtrekken"" met 2 personen",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
imhotep-het-duel,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/imhotep_duel_spelmateriaal.jpg?v=1704371885,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imperial-miners,Imperial Miners,"<p><span data-mce-fragment=""1"">Imperial Miners is a light engine-building card game from the designer Tim Armstrong (Arcana Rising, Orbis) in which players build their mines using a clever card activation system. This standalone game is set in the popular Imperial Settlers universe and offers <strong>beautiful illustrations, easy rules, and satisfying gameplay full of combos and synergies between the cards.</strong> </span></p>
<p><span data-mce-fragment=""1"">In Imperial Miners players build their own mines by playing cards to their tableau. They start from the ground floor and develop downwards. Each time a card is added to the mine it activates itself and all the cards above it rewarding a player with satisfying combos. Cards belong to six different factions and offer various abilities. Players are free to mix different factions in their mines for better results. </span></p>
<p><span data-mce-fragment=""1"">Imperial Miners offers an <strong>impressive replayability thanks to its wide range of different cards and progress tracks</strong>, which are added to the game during setup. Players advance the tracks throughout the game acquiring immediate benefits to synergize with their cards trigger even more satisfying combos.</span></p>",Intrafin,,Gezelschapsspel,"Bordspel, Bouwen, engine building, Expeditie, Fantasy, Verzamelen",,Title,Default Title,,,,,,,,,0,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/imperial-miners-boardgame_1.jpg?v=1705071318,1,,,,,,,,,,,,,,,,,"1 speler
2 spelers
3 spelers
4 spelers
5 spelers",1 tot 5 spelers,,"Verzamelen
Bouwen",,,10+,Gemiddeld,,Bordspel,±60 minuten,Engine Building,Engels,"Expeditie
Fantasy",,Portal Games,"'- Voor de fans van Imperial Settlers is dit een leuke tip!
- Combineer kaarten van 6 verschillende facties
- Ook weer een hoge herspeelbaarheid",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
imperial-settlers,Imperial Settlers,"<div class=""info"" data-mce-fragment=""1"">
<div class=""view"" data-mce-fragment=""1"">
<p>Ontdek de fascinerende wereld van Imperial Settlers in dit spannende bordspel!</p>
Kolonisten van vier verschillende wereldmachten hebben een nieuw gebied ontdekt met een overvloed aan waardevolle grondstoffen en rijkdommen, maar al snel komen ze erachter dat het gebied veel te klein is voor iedereen. Dit spel neemt je mee naar een tijdperk vol beschavingen en veroveringen. Tactisch vermogen is vereist, zodat jij een machtig rijk kunt opbouwen en kunt heersen over een uitgestrekt grondgebied. Laat je Harry zien welk volk de macht krijgt?<br>
</div>
</div>
<div class=""info"" data-mce-fragment=""1"">
<div class=""view"" data-mce-fragment=""1"">
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Bouw je eigen wereldrijk</strong>: Kies één van de vier volkeren en bouw een wereldrijk. Elk volk heeft zijn eigen speciale eigenschappen en vaardigheden, waardoor elk volk anders is om te spelen!</p>
</li>
<li data-mce-fragment=""1"">
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Ongekend veel mogelijkheden: </strong>De enorme hoeveelheid kaarten maakt verschillende strategieën mogelijk. In elk spel combineren spelers de algemene kaarten met de specifieke kaarten van hun volk, waardoor de combinaties en tactisch mogelijkheden enorm zijn.</p>
</li>
<li data-mce-fragment=""1"">
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Vlot en uitdagend: </strong>Regels zijn eenvoudig en vlot uit te leggen, maar tijdens de slechts vijf rondes dat het spel duurt ontvouwt zich een spel dat tactiek en slimme keuzes vereist!</p>
</li>
<li data-mce-fragment=""1"">
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Volle doos, value for money: </strong>de doos is gevuld met meer dan 200 honderd kaarten, ruim 100 houten speelstukken en 50 fiches.</p>
</li>
<li data-mce-fragment=""1"">
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Volledig Nederlandstalige uitgave: </strong>Alle kaarten zijn voorzien van duidelijke Nederlandse teksten.</p>
</li>
<li data-mce-fragment=""1"">
<p data-mce-fragment=""1"">Inclusief<span data-mce-fragment=""1""> </span><u data-mce-fragment=""1"">uitdagende</u><span data-mce-fragment=""1""> </span>variant voor solospel! </p>
</li>
</ul>
<h2>Hoe speel je Imperial Settlers?</h2>
<p>Bij het Imperial Settlers spel is het de bedoeling dat je de leiding neemt over één van de vier verschillende facties. Je kunt hierbij kiezen tussen de Romeinen, Egyptenaren, Barbaren of de Japanners. Ze bouwen nieuwe gebouwen om zo hun economie te verbeteren, graven mijnen uit en leggen akkers aan om grondstoffen te vergaren en bouwen kazernes om soldaten te trainen die de grenzen moeten bewaken.</p>
<p>Elke factie beschikt over zijn eigen unieke vaardigheden en eigenschappen, waardoor je verschillende strategieën kunt gebruiken om jouw rijk zo groot mogelijk te maken. Of je nu kiest voor de verfijnde cultuur van de Japanners of de brute kracht van de Barbaren, elke factie heeft zijn eigen voordelen.</p>
<p>Het doel is uiteindelijk om grondstoffen te verzamelen en slim gebruik te maken van de verschillende actiekaarten. Zo is het belangrijk om gebouwen te bouwen, grondstoffen te verzamelen en je eigen volk naar welvaart en vooruitgang te leiden. Houd er echter wel rekening mee dat jouw tegenspelers precies hetzelfde doel proberen te bereiken en daardoor niet zullen twijfelen om jou te saboteren. Het is van belang om slim te onderhandelen, aan te vallen en te verdedigen om zo de winst naar je toe te kunnen trekken.</p>
<h2>Prachtig geïllustreerde speelkaarten en eindeloze strategische mogelijkheden.</h2>
<p>Imperial Settlers spel is voorzien van prachtig geïllustreerde speelkaarten en een gedetailleerd spelbord. Met een enorme hoeveelheid kaarten biedt het spel mogelijkheden voor verschillende strategieën. Spelers combineren algemene kaarten met specifieke kaarten van hun volk, waardoor er eindeloze combinaties en tactische mogelijkheden ontstaan.  </p>
<p>Het maakt bij Imperial Settlers niet uit of je een ervaren bordspeler bent, of dat je pas kennis maakt met het genre. De regels zijn eenvoudig en vlot uit te leggen. Ondanks dat het spel maar vijf rondes duurt, zul je snel merken dat het zich ontvouwt in een tactisch spel, waar slimme keuzes cruciaal zijn.</p>
<h2>Koop Imperial Settlers bij De Dwalende Dwerg</h2>
<p>De doos is gevuld met meer dan 200 honderd kaarten, ruim 100 houten speelstukken, 50 fiches en een uitdagende solospel variant! Daarbij is het spel volledig Nederlandstalig. Je kunt Imperial Settlers kopen via onze website of in onze winkel in beek.</p>
<p>Ben jij klaar om jezelf en anderen uit te dagen en een stukje geschiedenis te herschrijven?</p>
<p> </p>
</div>
</div>
<div class=""info"" data-mce-fragment=""1"">
<label data-mce-fragment=""1""></label>
<div class=""view"" data-mce-fragment=""1""></div>
</div>",White Goblin Games,,Gezelschapsspel,"1 persoon, 2 personen, 3 personen, 4 personen, Beschaving, Bouwen, Genomineerd, Hoge herspeelbaarheid, Kaarten, Kaartspel, Leeftijd 10+, Makkelijk, Nederlands, Solo variant, Strategisch, Uitdagend, White Goblin Games, ± 45 minuten",,Title,Default Title,,,,,,,,,1190,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/3D_doos_RGB.jpg?v=1657115355,1,,,,,,,,,,,,,,,,,"1 speler
2 spelers
3 spelers
4 spelers",1 tot 4 spelers,,Bouwen,,,10+,Makkelijk,,Kaartspel,±45 minuten,Strategisch,Nederlands,Beschaving,,White Goblin Games,"'- Schattige artwork
- Soms echt genadeloos naar je medespelers: brand gebouwen van de vijand af en probeer ondertussen je eigen economie op te bouwen voor het te laat is
- Hoge herspeelbaarheid door de verschillende volken met elk unieke eigenschappen
- Duidelijke regels, waardoor je al snel kunt beginnen met spelen",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
imperial-settlers,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/imperial_settler_001_web.jpg?v=1657115355,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imperial-settlers,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/imperial_settler_002_web.jpg?v=1657115355,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imperial-settlers,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/is-wgg-piramide.jpg?v=1657115355,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imperial-settlers,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/imperial_settler_006_web.jpg?v=1657115355,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imperial-settlers,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/imperial_settler_007_web.jpg?v=1657115355,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imperial-settlers,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/imperial_settler_012_web.jpg?v=1657115355,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imperial-settlers,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/imperial_settler_005_web.jpg?v=1657115355,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imperial-settlers-roll-write,Imperial Settlers - Roll & Write,"<p>Harry laat weten dat terwijl de grote koninkrijken oorlog voeren tegen elkaar, een groep kolonisten besluit te vertrekken om op zoek te gaan naar een vreedzamere omgeving. Ze weten dat ze deze keer met elkaar zullen moeten samenwerken om die nieuwe gebieden te laten opbloeien. Dat zullen ze in elk geval moeten proberen...<br></p>
<p>Imperial Settlers: Roll &amp; Write is een nieuw spel in de wereld van Imperial Settlers. Spelers verzamelen in dit spel grondstoffen door dobbelstenen te gooien, gebouwen te bouwen en hun velden te oogsten.</p>
<p>Het spel bevat een competitieve variant en solovariant waarvoor elk spel een unieke combinatie van gebouwen wordt gebruikt.</p>",White Goblin Games,,Gezelschapsspel,"2 personen, 3 personen, 4 personen, Beschaving, Bouwen, Dobbelen, Leeftijd 10+, Makkelijk, Makkelijk te leren, Nederlands, Potlood, Roll & Write, Schrijven, White Goblin Games, ± 30 minuten",,Title,Default Title,,,,,,,,,660,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/IMP-SETT-RW_3d.jpg?v=1657115441,1,,,,,,,,,,,,,,,,,"1 speler
2 spelers
3 spelers
4 spelers",1 tot 4 spelers,,Bouwen,,,10+,Makkelijk,,Roll/Flip & Write,±30 minuten,Dobbelen,Nederlands,Beschaving,,White Goblin Games,"'- Speelse variant op Imperial Settlers
- Leuke Roll & Write",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
imperial-settlers-roll-write,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/IMP-SETT-RW_cover.jpg?v=1657115441,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imperial-settlers-roll-write,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/IMG_2744.jpg?v=1657115441,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imperial-settlers-roll-write,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/products/imperial_settlers_-_roll_and_write_003.jpg?v=1657115441,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imploding-kittens-expansion,Imploding Kittens Expansion - NL,"<p>Imploding Kittens is de eerste uitbreiding voor het prijswinnende kaartspel Exploding Kittens, dat wordt gezien als één van de beste kaartspellen. Het spel is alleen speelbaar wanneer je het kaartspel Exploding Kittens in bezit hebt.</p>
<p>Imploding Kittens bestaat uit 20 nieuwe kaarten, waardoor 6 nieuwe acties kunnen worden uitgevoerd. Bovendien is er een imploderende kitten die ervoor zorgt dat het spel met 6 spelers gespeeld kan worden. Ook bevat het een levensgrote “Cone of Shame”, dat onderdeel van het spel is. De kaarten zijn wederom voorzien van hilarisch illustraties gemaakt door The Oatmeal.</p>",Asmodee,,Gezelschapsspel,"Dieren, Partyspel, Player elimination, Push Your Luck, Uitbreiding",,Title,Default Title,,,,,,,,,0,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/implodingkittens_1.jpg?v=1709290798,1,,,,,,,,,,,,,,,,,"2 spelers
3 spelers
4 spelers
5 spelers",2 tot 5 spelers,,Competitie,,,7+,Makkelijk,,Uitbreiding,±15 minuten,"Player elimination
Push your luck",Nederlands,"Dieren
Partyspel",,Exploding Kittens,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
imploding-kittens-expansion,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/implodingkittens_2.jpg?v=1709290800,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imploding-kittens-expansion,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/implodingkittens_3.jpg?v=1709290802,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infernal-wagon,Infernal Wagon,"<p data-mce-fragment=""1"">Oh no, the mine is collapsing!<br data-mce-fragment=""1"">Hurry, get in the wagon and head towards the exit!</p>
<p data-mce-fragment=""1""><em data-mce-fragment=""1""><strong data-mce-fragment=""1"">Infernal Wagon</strong></em><span data-mce-fragment=""1""> </span>is an intensely fun cooperative game in which players must work together to create a path to the exit… before time runs out! But be careful: each card played has a high chance of triggering devastating effects!</p>
<p data-mce-fragment=""1"">A game of<span data-mce-fragment=""1""> </span><em data-mce-fragment=""1""><strong data-mce-fragment=""1"">Infernal Wagon</strong></em><span data-mce-fragment=""1""> </span>plays in 7 minutes at most, until one of the end game conditions is met. In this cooperative game, all players win or lose together.</p>
<p data-mce-fragment=""1"">At the start of the game, place the 3 starting cards and the wagon on the last one. There is no turn order: when the time is right, the player with the best card plays and activates its effect. They draw a card and any other player can take a turn (in the 2 players variant, you can play 2 cards consecutively). Once a card is played, move the wagon onto it. Place the exit card in the 7 minutes time span to win the game!</p>",Asmodee,,Gezelschapsspel,"Avontuur, Coöperatief, demo, Kaartspel, Overleven",,Title,Default Title,,,,,,,,,0,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/infernal-wagon-1.png?v=1708008665,1,,,,,,,,,,,,,,,,,"2 spelers
3 spelers
4 spelers
5 spelers",2 tot 5 spelers,,Overleven,,,7+,Makkelijk,,Kaartspel,±10 minuten,Coöperatief,Engels,Avontuur,,Iello,"'- Super leuk en spannend spel dat je samen leert spelen
- Extra spannend als je de timer gebruikt vanuit de spelregels",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
infernal-wagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/infernal-wagon-2.png?v=1708008672,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infernal-wagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/infernal-wagon-3.png?v=1708008677,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinity-gauntlet-a-love-letter-game,Infinity Gauntlet: A Love Letter Game,"<p>The Mad Titan Thanos seeks the Infinity Stones to bend the universe to his indomitable will, but courageous heroes are assembling to stand in his path to ultimate power. Based on the beloved card game and set in the Marvel Universe,<span> </span><em><strong>Infinity Gauntlet: A Love Letter Game</strong></em><span> </span>features the elegant mechanics of the original, re-imagined in a one-vs-many twist for thrilling team play. While one player takes on the role of Thanos on a crusade to change the universe as we know it, 1-5 other players must deploy iconic heroes to defeat him before he can achieve his aims.</p>
<p>Throughout the game, players take turns drawing a card and playing a card, then executing its effect. Hero players can call upon the likes of Iron Man, Spider-man, Thor, and Scarlet Witch for their abilities to battle and gather intel about their opponent’s schemes. A worthy adversary, Thanos plays with a two-card hand, drawing from his own deck of minions and powerful Infinity Stones. The heroes will have to use their abilities in strategic combinations to knock his health down to zero before he can do the same to them—or find all six Infinity Stones and win with a snap of his fingers. Who will prevail in this battle for the universe?</p>",Asmodee,,Gezelschapsspel,"2 personen, 3 personen, 4 personen, 5 personen, 6 personen, Bluffen, Deductie, demo, Engels, Geluk, Kaarten, Kaartspel, Leeftijd 10+, Love Letter, Makkelijk, Makkelijk te leren, Overleven, Player elimination, Push Your Luck, Survival, Z-Man Games, ± 20 minuten",,Title,Default Title,,,,,,,,,0,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/zmgmz01_1_1.jpg?v=1692271731,1,,,,,,,,,,,,,,,,,"2 spelers
3 spelers
4 spelers
5 spelers
6 spelers",2 tot 6 spelers,,"Overleven
Bluffen",,,10+,Makkelijk,,Kaartspel,±15 minuten,"Player elimination
Deductie
Push your luck",Engels,"Sciencefiction
Film/Series",,Z-Man Games,"'- Marvel editie van het bekende Love Letter
- Snel te leren
- Ook leuk met twee personen
- Dankzij het zakje waar de kaarten in zitten is dit spel makkelijk mee te nemen",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
infinity-gauntlet-a-love-letter-game,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/zmgmz01_2_1.jpg?v=1692271731,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinity-gauntlet-a-love-letter-game,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/zmgmz01_3_1.jpg?v=1692271731,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinity-gauntlet-a-love-letter-game-1,Infinity Gauntlet: A Love Letter Game,,Blackfire,,Gezelschapsspel,,,Title,Default Title,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
inori-bordspel,Inori - Bordspel,"<p><span>In de Inori-valley worden dorpen gebouwd onder het gebladerte van een immense Heilige Boom, waar het volk samenleeft met goedaardige, maar jaloerse geesten.</span><br><br><span>Breng offers aan de geesten om hun gunsten te verkrijgen. Laat het bord elk seizoen evolueren en maak steeds nieuwe keuzes.</span><br><br><span>Slechts één van jullie zal gekroond worden tot hoeder van de Heilige Boom.</span><br><br><span>Inori is een snel en opportunistisch workerplacement-spel. Kies verstandig, buig de keuzes van je tegenstanders om in jouw voordeel en baan je een weg naar de overwinning!</span><br></p>",Asmodee,Toys & Games > Games > Board Games,Gezelschapsspel,"Azië, Bordspel, Bouwen, demo, japan, oosters, Worker placement",,Title,Default Title,,,,,,,,,0,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/spc23-001frnl_1_1.png?v=1727794021,1,,,,,,,,,,,,,,,,,"2 spelers
3 spelers
4 spelers",2 tot 4 spelers,,Bouwen,,,10+,Gemiddeld,,Bordspel,±40 minuten,Worker placement,"Frans
Nederlands",Azië,,Space Cowboys,"'- Steeds evaluerend speelbord
- Prachtige zachte artwork",,,,,,,plaatsing-van-werkers,,blauw; veelkleurig-8,,,,,,,,,10-jaar-of-ouder,,,,,,,,kg,,,,,,,,,,,,
inori-bordspel,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/spc23-001frnl_2_1.png?v=1727794021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inori-bordspel,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/spc23-001frnl_3_1.jpg?v=1727794020,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inori-bordspel,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0644/2011/8784/files/spc23-001frnl_6_1.png?v=1727794020,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
